JOB_NAME,JOB_ID,FILE_SIZE,PARALLELISM
JSON_INFLUX,f29aeb42-2621-40c2-abf7-fdce76b1586d,2 mb,32
CSV_TI,72915dde-d393-4544-a6fb-3212afb1753c,2 mb,32
JSON_TI,4c8fd059-5e48-4830-b866-6ec5fc81e444,2 mb,32
XML_TI,adde07b8-3d75-4075-b266-ccd350630673,2 mb,32
KAFKA_TI,38fcc1a6-e4ff-4ee8-b6b0-e02f7d507411,2 mb,32
CSV_GROUP,24e02c4e-e421-42be-8694-76e50c80ac60,2 mb,32
XML_GROUP,57b44c49-21c0-492f-b925-d0d13c64e575,2 mb,32
JSON_GROUP,8d948dd3-29bb-4283-a3d8-4cbbe30a142d,2 mb,32
CSV_CONTEXT,d02cbdf5-a8ac-4dfc-9439-6e279706799a,2 mb,32
XML_CONTEXT,740bce81-2c55-447d-99f5-111644045a26,2 mb,32
JSON_CONTEXT,fafcc604-1f63-433c-b27e-49c5261ec87f,2 mb,32
KAFKA_CONTEXT,89e577a2-7a63-4925-a6bc-f9127e5c9c0d,2 mb,32
KAFKA_GROUP,57457e4a-4f5a-498c-8c83-12fba1fabbc5,2 mb,32
CSV_NEO4J,d0d7c6f8-5e8c-4e3f-bfee-f3ae0aefaca9,2 mb,32
KAFKA_REDIS,25e39ec7-2773-4129-a0b8-762e302f7c08,2 mb,32
KAFKA_RSOCKET,9738aaa7-62c0-4bc4-b719-f0122ae15b2f,2 mb,32
KAFKA_WEBSOCKET,ebf43b80-4237-4b92-bf25-b1840b4eedba,2 mb,32
KAFKA_MONGO,9dac08db-d7a8-40f5-9d99-03bda275fc35,2 mb,32
XML_MONGO,754b8c93-9c25-4a54-9a08-083eb1ffda58,2 mb,32
JSON_MONGO,f2a63292-bd45-4888-8756-e2b030926f74,2 mb,32
CSV_MONGO,143a921f-8c43-426b-a5d6-1dc0bb86b16c,2 mb,32
MQTT_CLICKHOUSE,0abff84f-6c2c-45c5-b041-f1c925315f4e,2 mb,32
JSON_ELASTIC,1568b399-729c-4f90-a0e0-e76155086581,2 mb,32
KAFKA_ELASTIC,ad5d2402-37ca-4262-84e7-6039f33532e2,2 mb,32
MQTT_ELASTIC,7824afa1-939d-4e0c-9806-d93788059854,2 mb,32
XML_ELASTIC,e5b1e7db-2d1a-4b39-98f7-9951615bcead,2 mb,32
CSV_TIDBAAS,d27275df-a1ba-48b5-ada3-b66934f2e5fa,2 mb,32
CSV_NEO4JDBAAS,e3a3b459-2d51-4bff-8eaa-d4ff59a254a6,2 mb,32
CSV_ELASTIC,8f0730e1-8c33-4c31-bc9d-0cf054867f46,2 mb,32
CSV_MONGODBAAS,97dfeda5-9952-47df-b2ee-6198aa913248,2 mb,32
CSV_REDIS,64e2d7fd-7985-4682-b22f-13ae25e13fe5,200 mb,4
XML_REDIS,1a735fbf-bbf3-4a7e-9464-454b3a56868b,200 mb,4
JSON_REDIS,2acb99a6-3f89-47fe-ae92-58e2154f1af0,200 mb,4
CSV_RSOCKET,7a67d2a2-a262-43ef-8539-3731fdc684fd,200 mb,4
JSON_RSOCKET,10873e1d-9600-45df-abb7-31c0acb558c8,200 mb,4
XML_RSOCKET,081ac22c-cf9a-4629-b592-56399829f87d,200 mb,4
CSV_WEBSOCKET,80d8239d-aea2-4115-b7fa-730ae0c48ebb,200 mb,4
JSON_WEBSOCKET,b8d3ebca-1cf5-45ed-a15f-366932a0fdbe,200 mb,4
XML_WEBSOCKET,42f276ca-6dd6-4478-9c44-157a7349793a,200 mb,4
XML_POSTGIS,7f9ca257-d3aa-4ca1-ab48-441514ecb4e1,200 mb,4
JSON_POSTGIS,d3e2d735-7f5c-4698-9c0b-aea8de7d15b9,200 mb,4
CSV_POSTGIS,e9f3d08c-2aa3-4905-be67-0ffdbdc47371,200 mb,4
CSV_INFLUX,840982dc-e6d1-41d0-9646-fb21a06a9451,200 mb,4
XML_INFLUX,f81a36bf-c5e5-4db8-affd-fce7212ea4ba,200 mb,4
JSON_INFLUX,22169250-ad74-4df2-a702-7c4d43f8d1a5,200 mb,4
CSV_TI,080071dc-ae00-4b33-8894-32755febafa4,200 mb,4
JSON_TI,8c9fa112-4fa1-497d-96fd-65a908b9de11,200 mb,4
XML_TI,29779f9f-ab99-44a5-ba66-0c8339f56d3f,200 mb,4
KAFKA_TI,e1faaf8c-b616-43ec-8657-5001527f557a,200 mb,4
CSV_GROUP,e036758c-8482-4039-bc34-93c7183420fd,200 mb,4
XML_GROUP,bb4942e5-6c82-4ffb-b023-9502c0d52e74,200 mb,4
